country ,gdp_country,Year,Source 
Bahamas,13.8,2023,https://www.imf.org/external/datamapper/NGDPD@WEO/WEOWORLD/BHS
Bermuda,7.287,2022,https://www.gov.bm/sites/default/files/National-Economic-Report-2022-Final.pdf
British Virgin Islands,1.751,2022,https://unctadstat.unctad.org/CountryProfile/GeneralProfile/en-GB/092/GeneralProfile092.pdf
Cayman Islands,6.64,2022,https://unctadstat.unctad.org/CountryProfile/GeneralProfile/en-GB/136/GeneralProfile136.pdf
Eswatini (Swaziland),4.65,2023,https://www.imf.org/external/datamapper/NGDPD@WEO/WEOWORLD/BHS
Guernsey,4.68,2021,https://www.gov.gg/gdp
Hong Kong,385.55,2023,https://www.imf.org/external/datamapper/NGDPD@WEO/WEOWORLD/BHS
Ireland,589.57,2023,https://www.imf.org/external/datamapper/NGDPD@WEO/WEOWORLD/BHS
Taiwan,751.93,2023,https://www.imf.org/external/datamapper/NGDPD@WEO/WEOWORLD/BHS
Turks and Caicos Islands,1.088,2022,https://unctadstat.unctad.org/countryprofile/generalprofile/en-gb/796/index.html
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,